refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
U3	TO252-3N____.fp	LM1117/5V	unknown	unknown	Conrad	00126859	unknown	unknown	unknown	unknown	
D6	DIOMELF5025X25N_Diotec_SUF4002_DO213AB_.fp	SUF4002	unknown	unknown	Conrad	556848	unknown	unknown	unknown	unknown	
D5	DIOMELF5025X25N_Diotec_SUF4002_DO213AB_.fp	SUF4002	unknown	unknown	Conrad	556848	unknown	unknown	unknown	unknown	
R11	RESC3216N____.fp	150	unknown	unknown	Conrad	402443	unknown	unknown	unknown	unknown	
R10	RESC3216N____.fp	150	unknown	unknown	Conrad	402443	unknown	unknown	unknown	unknown	
J9	CON-SIL-254P-2N____.fp	unknown	unknown	unknown	Conrad	733900	unknown	unknown	unknown	unknown	
J5	CON-SIL-254P-2N____.fp	unknown	unknown	unknown	Conrad	733900	unknown	unknown	unknown	unknown	
J4	CON-SIL-254P-2N____.fp	unknown	unknown	unknown	Conrad	733900	unknown	unknown	unknown	unknown	
J6	CON-SIL-254P-8N____.fp	unknown	unknown	unknown	Conrad	734023	unknown	unknown	unknown	unknown	
R9	RESC3216N____.fp	1k	unknown	unknown	Conrad	402540	unknown	unknown	unknown	unknown	
S2	SW_Conrad_1386949__.fp	NO	unknown	unknown	Conrad	1686949	unknown	unknown	unknown	unknown	
J2	CON-PWRJACK-3N_4UCON_18742__.fp	unknown	unknown	unknown	iPrototype	unknown	unknown	unknown	unknown	unknown	
J8	CON-SIL-254P-4N____.fp	unknown	unknown	unknown	Conrad	733940	unknown	unknown	unknown	unknown	
J7	CON-SIL-254P-8N____.fp	unknown	unknown	unknown	Conrad	734023	unknown	unknown	unknown	unknown	
F1	FUSC3216N____.fp	unknown	unknown	unknown	Mouser	F2110CT-ND	unknown	unknown	unknown	unknown	
PORT_A	CON-SIL-254P-4N____.fp	unknown	unknown	unknown	Conrad	733940	unknown	unknown	unknown	unknown	
PORT_C	CON-SIL-254P-8N____.fp	unknown	unknown	unknown	Conrad	734023	unknown	unknown	unknown	unknown	
PORT_B	CON-SIL-254P-8N____.fp	unknown	unknown	unknown	Conrad	734023	unknown	unknown	unknown	unknown	
JP3	CON-SIL-254P-8N____.fp	unknown	unknown	unknown	Sparkfun	PRT-11417	unknown	unknown	unknown	unknown	
JP2	CON-SIL-254P-8N____.fp	unknown	unknown	unknown	Sparkfun	PRT-11417	unknown	unknown	unknown	unknown	
JP4	CON-SIL-254P-6N____.fp	unknown	unknown	unknown	Sparkfun	PRT-11417	unknown	unknown	unknown	unknown	
JP1	CON-SIL-254P-10N____.fp	unknown	unknown	unknown	Sparkfun	PRT-11417	unknown	unknown	unknown	unknown	
D	MTG320____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
A	MTG320____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
B	MTG320____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C	MTG320____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C10	CAPMP6032N____.fp	10uF/25V	unknown	unknown	Conrad	458351	unknown	unknown	unknown	unknown	
D4	LEDC200X125X80N_Osram_LGR971__.fp	Green	unknown	unknown	Conrad	819934	unknown	unknown	unknown	unknown	
R4	RESC3216N____.fp	270	unknown	unknown	Conrad	402478	unknown	unknown	unknown	unknown	
D3	LEDC200X125X80N_Osram_LHR974__.fp	Red	unknown	unknown	Conrad	819938	unknown	unknown	unknown	unknown	
D2	LEDC200X125X80N_Osram_LYR976__.fp	Yellow	unknown	unknown	Conrad	819967	unknown	unknown	unknown	unknown	
D1	LEDC200X125X80N_Osram_LYR976__.fp	Yellow	unknown	unknown	Conrad	819967	unknown	unknown	unknown	unknown	
R3	RESC3216N____.fp	270	unknown	unknown	Conrad	402478	unknown	unknown	unknown	unknown	
R2	RESC3216N____.fp	270	unknown	unknown	Conrad	402478	unknown	unknown	unknown	unknown	
R1	RESC3216N____.fp	270	unknown	unknown	Conrad	402478	unknown	unknown	unknown	unknown	
S1	SW_Conrad_1386949__.fp	NO	unknown	unknown	Conrad	1386949	unknown	unknown	unknown	unknown	
C6	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	458125	unknown	unknown	unknown	unknown	
C5	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	458125	unknown	unknown	unknown	unknown	
C3	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	458125	unknown	unknown	unknown	unknown	
R5	RESC3216N____.fp	1k	unknown	unknown	Conrad	402540	unknown	unknown	unknown	unknown	
Q1	SOT523____.fp	200mA	unknown	unknown	Digi-Key	RZE002P02TLCT-ND	unknown	unknown	unknown	unknown	
C2	CAPAE400X580N_Nichicon_WD__.fp	4.7uF/35V	unknown	unknown	Conrad	404647	unknown	unknown	unknown	unknown	
C1	CAPC3216N____.fp	10nF	unknown	unknown	Conrad	458111	unknown	unknown	unknown	unknown	
L1	INDC3216N____.fp	600@100MHz	unknown	unknown	Digi-Key	490-1057-1-ND	unknown	unknown	unknown	unknown	
C4	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	458125	unknown	unknown	unknown	unknown	
